Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
GPT-3.5-Turbo                           |   A   |  93   | Neutral              |
o1-mini                                 |   A   |  93   | Neutral              |
Llama-3-8B                              |  A-   |  90   | Slightly Strict (-1/3 grade) |
GPT-4o-mini                             |  A-   |  90   | Slightly Strict (-1/3 grade) |
grok-beta                               |  A-   |  90   | Slightly Strict (-1/3 grade) |
grok2-1212                              |   A   |  93   | Neutral              |
Claude-3.7-Sonnet                       |  A-   |  90   | Slightly Strict (-1/3 grade) |
Claude-3-Sonnet                         |   A   |  93   | Neutral              |
GPT-4o                                  |   A   |  93   | Neutral              |
Qwen-Turbo                              |   A   |  93   | Neutral              |
Claude-3-Opus                           |   A   |  93   | Neutral              |
Gemini Flash 2.0                        |   A   |  93   | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online   |  A-   |  90   | Slightly Strict (-1/3 grade) |
o3-mini-high                            |   A   |  93   | Neutral              |
o1                                      |   A   |  93   | Neutral              |
Gemini Pro 1.5                          |  A-   |  90   | Slightly Strict (-1/3 grade) |
Qwen-Plus                               |   A   |  93   | Neutral              |
DeepSeek-Distill-Qwen-32b               |   A   |  93   | Neutral              |
Qwen-Max                                |  A-   |  90   | Slightly Strict (-1/3 grade) |
Claude-3.7-Sonnet-thinking              |  A-   |  90   | Slightly Strict (-1/3 grade) |
Perplexity: Llama 3.1 Sonar 70B         |  A+   |  100  | Slightly Lenient (+1/3 grade) |
DeepSeek-R1-Full                        |  A-   |  90   | Slightly Strict (-1/3 grade) |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |   A   |  93   | Baseline             |
