Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
GPT-4o                                  |  A-   |  90   | Neutral              |
Claude-3-Sonnet                         |   A   |  93   | Slightly Lenient (+1/3 grade) |
Claude-3-Opus                           |  A-   |  91   | Neutral              |
GPT-4o-mini                             |  B+   |  87   | Slightly Strict (-1/3 grade) |
Claude-3.7-Sonnet                       |  B+   |  87   | Slightly Strict (-1/3 grade) |
Llama-3-8B                              |  B+   |  87   | Slightly Strict (-1/3 grade) |
Claude-3.7-Sonnet-thinking              |  B+   |  87   | Slightly Strict (-1/3 grade) |
GPT-3.5-Turbo                           |  A-   |  90   | Neutral              |
DeepSeek-R1-Full                        |  A-   |  90   | Neutral              |
grok2-1212                              |  A-   |  90   | Neutral              |
o1-mini                                 |  B+   |  87   | Slightly Strict (-1/3 grade) |
Perplexity: Llama 3.1 Sonar 8B Online   |  B+   |  87   | Slightly Strict (-1/3 grade) |
Qwen-Turbo                              |   A   |  93   | Slightly Lenient (+1/3 grade) |
o3-mini-high                            |  A-   |  90   | Neutral              |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Neutral              |
Gemini Pro 1.5                          |  B+   |  87   | Slightly Strict (-1/3 grade) |
DeepSeek-Distill-Qwen-32b               |  A-   |  90   | Neutral              |
grok-beta                               |  B+   |  87   | Slightly Strict (-1/3 grade) |
Qwen-Max                                |  A-   |  90   | Neutral              |
o1                                      |  A-   |  90   | Neutral              |
Gemini Flash 2.0                        |  B+   |  87   | Slightly Strict (-1/3 grade) |
Qwen-Plus                               |  A-   |  90   | Neutral              |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  A-   |  90   | Baseline             |
