Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
GPT-3.5-Turbo                           |  A-   |  90   | Lenient (+1 grade)   |
GPT-4o-mini                             |   B   |  83   | Slightly Strict (-1/3 grade) |
Llama-3-8B                              |  A-   |  90   | Lenient (+1 grade)   |
o1-mini                                 |  B+   |  87   | Neutral              |
Claude-3-Sonnet                         |  A-   |  90   | Lenient (+1 grade)   |
grok-beta                               |  A-   |  90   | Lenient (+1 grade)   |
Claude-3.7-Sonnet                       |  B-   |  80   | Strict (-1 grade)    |
GPT-4o                                  |  B+   |  87   | Neutral              |
grok2-1212                              |  A-   |  90   | Lenient (+1 grade)   |
Gemini Flash 2.0                        |   B   |  83   | Slightly Strict (-1/3 grade) |
Claude-3-Opus                           |  B+   |  87   | Neutral              |
Qwen-Plus                               |  B+   |  87   | Neutral              |
Qwen-Turbo                              |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online   |  B+   |  87   | Neutral              |
Gemini Pro 1.5                          |  B-   |  80   | Strict (-1 grade)    |
o3-mini-high                            |  A-   |  90   | Lenient (+1 grade)   |
Claude-3.7-Sonnet-thinking              |  B-   |  80   | Strict (-1 grade)    |
Qwen-Max                                |   B   |  83   | Slightly Strict (-1/3 grade) |
o1                                      |  B+   |  87   | Neutral              |
DeepSeek-R1-Full                        |  A-   |  90   | Lenient (+1 grade)   |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Lenient (+1 grade)   |
DeepSeek-Distill-Qwen-32b               |  A-   |  90   | Lenient (+1 grade)   |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  B+   |  87   | Baseline             |
