Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
GPT-3.5-Turbo                           |  B+   |  87   | Strict (-1 grade)    |
Llama-3-8B                              |  A-   |  90   | Neutral              |
o1-mini                                 |  B+   |  87   | Strict (-1 grade)    |
Claude-3-Sonnet                         |   A   |  93   | Slightly Lenient (+1/3 grade) |
GPT-4o-mini                             |  B+   |  87   | Strict (-1 grade)    |
Qwen-Plus                               |  A-   |  90   | Neutral              |
Qwen-Turbo                              |  A-   |  90   | Neutral              |
grok2-1212                              |  A-   |  90   | Neutral              |
grok-beta                               |  B+   |  87   | Strict (-1 grade)    |
Claude-3.7-Sonnet                       |  B+   |  87   | Strict (-1 grade)    |
GPT-4o                                  |  A-   |  90   | Neutral              |
Gemini Flash 2.0                        |  A-   |  90   | Neutral              |
Claude-3-Opus                           |  A-   |  90   | Neutral              |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Neutral              |
Qwen-Max                                |  A-   |  90   | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online   |  A-   |  90   | Neutral              |
o1                                      |  A-   |  90   | Neutral              |
Gemini Pro 1.5                          |  A-   |  90   | Neutral              |
o3-mini-high                            |   B   |  83   | Very Strict (-2 grades) |
DeepSeek-Distill-Qwen-32b               |  B+   |  87   | Strict (-1 grade)    |
DeepSeek-R1-Full                        |   B   |  83   | Very Strict (-2 grades) |
Claude-3.7-Sonnet-thinking              |  A-   |  90   | Neutral              |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  A-   |  90   | Baseline             |
