Model                                     | Grade | Score | Grading Bias         |
-----------------------------------------+-------+-------+----------------------+
o1-mini                                   |  A-   |  90   | Neutral              |
GPT-3.5-Turbo                             |  A-   |  90   | Neutral              |
Llama-3-8B                                |  B+   |  87   | Strict (-1 grade)    |
GPT-4o-mini                               |  B+   |  87   | Strict (-1 grade)    |
Claude-3-Sonnet                           |   A   |  93   | Slightly Lenient (+1/3 grade) |
grok-beta                                 |  B+   |  87   | Strict (-1 grade)    |
Claude-3.7-Sonnet                         |  B+   |  87   | Strict (-1 grade)    |
DeepSeek-Distill-Qwen-32b                 |  A-   |  90   | Neutral              |
Qwen-Turbo                                |  A-   |  90   | Neutral              |
GPT-4o                                    |  B+   |  87   | Strict (-1 grade)    |
grok2-1212                                |  A-   |  90   | Neutral              |
Gemini Flash 1.5                          |  B-   |  80   | Very Strict (-2 grades) |
Perplexity: Llama 3.1 Sonar 8B Online     |  B+   |  87   | Strict (-1 grade)    |
Claude-3-Opus                             |  A-   |  90   | Neutral              |
Gemini Pro 1.5                            |  B+   |  87   | Strict (-1 grade)    |
o1                                        |  A-   |  90   | Neutral              |
Qwen-Plus                                 |  A-   |  90   | Neutral              |
Qwen-Max                                  |  B+   |  88   | Slightly Strict (-1/3 grade) |
o3-mini-high                              |  A-   |  90   | Neutral              |
Perplexity: Llama 3.1 Sonar 405B Online   |  A-   |  90   | Neutral              |
DeepSeek-R1-Full                          |  A-   |  90   | Neutral              |
Claude-3.7-Sonnet-thinking                |  B+   |  87   | Strict (-1 grade)    |
Perplexity: Llama 3.1 Sonar 70B           |  A-   |  90   | Neutral              |
-----------------------------------------+-------+-------+----------------------+
OVERALL                                   |  A-   |  90   | Baseline             |
