Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
GPT-3.5-Turbo                           |  A-   |  90   | Slightly Lenient (+1/3 grade) |
Llama-3-8B                              |  B+   |  87   | Slightly Strict (-1/3 grade) |
o1-mini                                 |  A-   |  90   | Slightly Lenient (+1/3 grade) |
o3-mini-high                            |  A-   |  90   | Slightly Lenient (+1/3 grade) |
GPT-4o-mini                             |  B+   |  87   | Slightly Strict (-1/3 grade) |
Claude-3-Sonnet                         |  A-   |  90   | Slightly Lenient (+1/3 grade) |
Claude-3.7-Sonnet                       |  B+   |  87   | Slightly Strict (-1/3 grade) |
Perplexity: Llama 3.1 Sonar 8B Online   |  B+   |  87   | Slightly Strict (-1/3 grade) |
Qwen-Turbo                              |  A-   |  90   | Slightly Lenient (+1/3 grade) |
GPT-4o                                  |  B+   |  87   | Slightly Strict (-1/3 grade) |
Qwen-Plus                               |  A-   |  90   | Slightly Lenient (+1/3 grade) |
Claude-3-Opus                           |  A-   |  90   | Slightly Lenient (+1/3 grade) |
Gemini Flash 2.0                        |  B+   |  87   | Slightly Strict (-1/3 grade) |
o1                                      |  A-   |  90   | Slightly Lenient (+1/3 grade) |
grok2-1212                              |  A-   |  90   | Slightly Lenient (+1/3 grade) |
Gemini Pro 1.5                          |   B   |  83   | Strict (-1 grade)    |
grok-beta                               |  B+   |  87   | Slightly Strict (-1/3 grade) |
DeepSeek-Distill-Qwen-32b               |  B+   |  87   | Slightly Strict (-1/3 grade) |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Slightly Lenient (+1/3 grade) |
Qwen-Max                                |  B+   |  87   | Slightly Strict (-1/3 grade) |
Claude-3.7-Sonnet-thinking              |  B+   |  87   | Slightly Strict (-1/3 grade) |
DeepSeek-R1-Full                        |  A-   |  90   | Slightly Lenient (+1/3 grade) |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  B+   |  88   | Baseline             |
