Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
DeepSeek-Distill-Qwen-32b               |  B+   |  87   | Strict (-1 grade)    |
o1-mini                                 |  A-   |  90   | Neutral              |
GPT-4o-mini                             |  B+   |  87   | Strict (-1 grade)    |
Gemini Flash 2.0                        |  B+   |  87   | Strict (-1 grade)    |
Claude-3.7-Sonnet                       |  B+   |  87   | Strict (-1 grade)    |
Claude-3-Sonnet                         |   A   |  93   | Slightly Lenient (+1/3 grade) |
GPT-4o                                  |  A-   |  90   | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online   |  B+   |  87   | Strict (-1 grade)    |
Gemini Pro 1.5                          |  B+   |  87   | Strict (-1 grade)    |
grok2-1212                              |  A-   |  90   | Neutral              |
Claude-3.7-Sonnet-thinking              |  A-   |  90   | Neutral              |
Qwen-Max                                |  A-   |  90   | Neutral              |
Claude-3-Opus                           |  A-   |  90   | Neutral              |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Neutral              |
o3-mini-high                            |  A-   |  90   | Neutral              |
o1                                      |  A-   |  90   | Neutral              |
DeepSeek-R1-Full                        |  A-   |  90   | Neutral              |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  A-   |  90   | Baseline             |
