Model                                     | Median Given | Grading Bias         |
-----------------------------------------+--------------+----------------------+
o1-mini                                   |      B+      | Strict (-1 grade)    |
GPT-3.5-Turbo                             |      A       | Neutral              |
Llama-3-8B                                |      B+      | Strict (-1 grade)    |
GPT-4o-mini                               |      B+      | Strict (-1 grade)    |
grok-beta                                 |      B+      | Strict (-1 grade)    |
Claude-3-Sonnet                           |      A       | Slightly Lenient (+1/3 grade) |
Qwen-Turbo                                |      A-      | Neutral              |
Claude-3.7-Sonnet                         |      B+      | Strict (-1 grade)    |
grok2-1212                                |      A-      | Neutral              |
Gemini Flash 1.5                          |      B-      | Very Strict (-2 grades) |
GPT-4o                                    |      B+      | Strict (-1 grade)    |
Perplexity: Llama 3.1 Sonar 8B Online     |      B+      | Strict (-1 grade)    |
Qwen-Max                                  |     N/A      | Slightly Strict (-1/3 grade) |
o1                                        |      A-      | Neutral              |
Claude-3-Opus                             |      A       | Neutral              |
Gemini Pro 1.5                            |      B+      | Strict (-1 grade)    |
Perplexity: Llama 3.1 Sonar 70B           |      A-      | Neutral              |
Qwen-Plus                                 |      A-      | Neutral              |
o3-mini-high                              |     N/A      | Slightly Strict (-1/3 grade) |
Claude-3.7-Sonnet-thinking                |      B+      | Strict (-1 grade)    |
Perplexity: Llama 3.1 Sonar 405B Online   |      A-      | Neutral              |
DeepSeek-Distill-Qwen-32b                 |      B+      | Strict (-1 grade)    |
DeepSeek-R1-Full                          |      A-      | Neutral              |
-----------------------------------------+--------------+----------------------+
OVERALL                                   |      A-      | Baseline             |
