Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
GPT-3.5-Turbo                           |  A-   |  90   | Lenient (+1 grade)   |
Claude-3-Sonnet                         |  A-   |  90   | Lenient (+1 grade)   |
Qwen-Turbo                              |  B+   |  87   | Neutral              |
grok-beta                               |  B+   |  87   | Neutral              |
GPT-4o                                  |  A-   |  90   | Lenient (+1 grade)   |
Llama-3-8B                              |  A-   |  90   | Lenient (+1 grade)   |
o1-mini                                 |  B+   |  87   | Neutral              |
grok2-1212                              |  B+   |  87   | Neutral              |
Qwen-Plus                               |  A-   |  90   | Lenient (+1 grade)   |
Gemini Flash 2.0                        |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online   |   A   |  93   | Very Lenient (+2 grades) |
Gemini Pro 1.5                          |  B+   |  87   | Neutral              |
Qwen-Max                                |  B+   |  87   | Neutral              |
GPT-4o-mini                             |  B+   |  87   | Neutral              |
Claude-3-Opus                           |  A-   |  90   | Lenient (+1 grade)   |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Lenient (+1 grade)   |
DeepSeek-Distill-Qwen-32b               |  B+   |  87   | Neutral              |
o1                                      |  A-   |  90   | Lenient (+1 grade)   |
Claude-3.7-Sonnet                       |  B+   |  87   | Neutral              |
o3-mini-high                            |  B+   |  87   | Neutral              |
Claude-3.7-Sonnet-thinking              |   B   |  83   | Slightly Strict (-1/3 grade) |
DeepSeek-R1-Full                        |  C+   |  77   | Very Strict (-2 grades) |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  B+   |  87   | Baseline             |
