Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
Llama-3-8B                              |  B+   |  87   | Neutral              |
o1                                      |   B   |  83   | Strict (-1 grade)    |
Claude-3-Opus                           |  B+   |  87   | Neutral              |
Claude-3.7-Sonnet                       |  B-   |  80   | Very Strict (-2 grades) |
GPT-3.5-Turbo                           |  A-   |  90   | Slightly Lenient (+1/3 grade) |
grok-beta                               |  B+   |  87   | Neutral              |
GPT-4o-mini                             |   B   |  83   | Strict (-1 grade)    |
GPT-4o                                  |   B   |  83   | Strict (-1 grade)    |
Claude-3.7-Sonnet-thinking              |  B-   |  80   | Very Strict (-2 grades) |
Claude-3-Sonnet                         |   A   |  93   | Lenient (+1 grade)   |
o1-mini                                 |  B+   |  87   | Neutral              |
o3-mini-high                            |  A-   |  90   | Slightly Lenient (+1/3 grade) |
Qwen-Plus                               |  A-   |  90   | Slightly Lenient (+1/3 grade) |
DeepSeek-Distill-Qwen-32b               |  A-   |  90   | Slightly Lenient (+1/3 grade) |
DeepSeek-R1-Full                        |  A-   |  90   | Slightly Lenient (+1/3 grade) |
Gemini Pro 1.5                          |  B-   |  80   | Very Strict (-2 grades) |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Slightly Lenient (+1/3 grade) |
grok2-1212                              |  B+   |  87   | Neutral              |
Gemini Flash 2.0                        |   B   |  83   | Strict (-1 grade)    |
Qwen-Max                                |   B   |  83   | Strict (-1 grade)    |
Qwen-Turbo                              |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 8B Online   |  B+   |  87   | Neutral              |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  B+   |  87   | Baseline             |
