Model                                   | Grade | Score | Grading Bias         |
---------------------------------------+-------+-------+----------------------+
o1-mini                                 |  B+   |  87   | Neutral              |
o3-mini-high                            |  A-   |  90   | Lenient (+1 grade)   |
GPT-4o-mini                             |   B   |  83   | Slightly Strict (-1/3 grade) |
Claude-3.7-Sonnet                       |   B   |  83   | Slightly Strict (-1/3 grade) |
Claude-3-Sonnet                         |   A   |  93   | Very Lenient (+2 grades) |
grok2-1212                              |  A-   |  90   | Lenient (+1 grade)   |
GPT-4o                                  |  B+   |  87   | Neutral              |
Gemini Flash 2.0                        |  B+   |  87   | Neutral              |
o1                                      |   B   |  83   | Slightly Strict (-1/3 grade) |
Perplexity: Llama 3.1 Sonar 8B Online   |  B+   |  87   | Neutral              |
DeepSeek-Distill-Qwen-32b               |  A-   |  90   | Lenient (+1 grade)   |
Qwen-Max                                |   B   |  83   | Slightly Strict (-1/3 grade) |
Gemini Pro 1.5                          |  B-   |  80   | Strict (-1 grade)    |
Claude-3-Opus                           |  B+   |  87   | Neutral              |
Perplexity: Llama 3.1 Sonar 70B         |  A-   |  90   | Lenient (+1 grade)   |
Claude-3.7-Sonnet-thinking              |  B-   |  80   | Strict (-1 grade)    |
DeepSeek-R1-Full                        |  A-   |  90   | Lenient (+1 grade)   |
---------------------------------------+-------+-------+----------------------+
OVERALL                                 |  B+   |  87   | Baseline             |
