Model                                            | Claude-3- | Claude-3- | Claude-3. | GPT-4o    | o1        | DeepSeek- | o1-mini   | GPT-4o-mi | Claude-3. | DeepSeek- | o3-mini-h | Gemini Fl | Qwen-Max  | Perplexit | Perplexit | grok2-121 | Gemini Pr | GPT-3.5-T | Google: G | Qwen-Turb | Moonshot  | Google: G | grok-beta | Llama-3-8 | Qwen-Plus | Dolphin3. | Meta: Lla | Mistral:  | Nous: Dee | NVIDIA: L | Meta: Lla | Meta: Lla | DeepSeek: | Median  | Pct   | Raw Num  |
------------------------------------------------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+-----------+---------+-------+----------+
Claude-3-Sonnet                                  | A- (90.0… | A- (90.0… | B (83.00) | A- (90.0… | A- (90.0… | N/A (0.0… | B+ (87.0… | B+ (87.0… | B+ (87.0… | B+ (87.0… | A- (90.0… | B+ (87.0… | C (73.00) | B+ (87.0… | A- (90.0… | A- (90.0… | B (83.00) | A- (90.0… | N/A (0.0… | A (93.00) | N/A (0.0… | B+ (87.0… | A- (90.0… | B+ (87.0… | B+ (87.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… |   B+    |  87   | 3.41 |
Claude-3-Opus                                    | A- (90.0… | A- (90.0… | B+ (87.0… | B+ (87.0… | A- (90.0… | A- (90.0… | A- (90.0… | B+ (87.0… | B+ (87.0… | A- (90.0… | A- (90.0… | B+ (87.0… | B+ (87.0… | B+ (87.0… | A- (90.0… | A- (90.0… | A- (90.0… | B+ (87.0… | N/A (0.0… | A (93.00) | N/A (0.0… | B+ (87.0… | A- (90.0… | B+ (87.0… | B+ (87.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… |   A-    |  90   | 3.52 |
Claude-3.7-Sonnet-thinking                       | A (93.00) | A (93.00) | A- (90.0… | A- (90.0… | A- (90.0… | A (93.00) | A- (90.0… | B+ (87.0… | B+ (87.0… | B+ (87.0… | A- (90.0… | B+ (87.0… | A- (90.0… | B+ (87.0… | A- (90.0… | A- (90.0… | A- (90.0… | A (93.00) | N/A (0.0… | B+ (87.0… | N/A (0.0… | A- (90.0… | B+ (87.0… | C+ (77.0… | A- (90.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… |   A-    |  90   | 3.58 |
GPT-4o                                           | A (93.00) | A- (90.0… | B+ (87.0… | A- (90.0… | A- (90.0… | C (73.00) | A- (90.0… | B+ (87.0… | B+ (87.0… | B+ (87.0… | A- (90.0… | B (83.00) | B+ (87.0… | B+ (87.0… | A- (90.0… | A- (90.0… | B (83.00) | A (93.00) | N/A (0.0… | A (93.00) | N/A (0.0… | B (83.00) | B+ (87.0… | B+ (87.0… | A- (90.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… |   B+    |  87   | 3.43 |
o1                                               | A- (90.0… | A (93.00) | A- (90.0… | B+ (87.0… | A (93.00) | A (93.00) | A- (90.0… | A- (90.0… | A- (90.0… | A- (90.0… | A (93.00) | B+ (87.0… | A- (90.0… | B+ (87.0… | A- (90.0… | A- (90.0… | A- (90.0… | A- (90.0… | N/A (0.0… | A (93.00) | N/A (0.0… | A- (90.0… | A (93.00) | C (73.00) | A- (90.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… |   A-    |  90   | 3.67 |
DeepSeek-R1-Full                                 | A (93.00) | A- (90.0… | A- (90.0… | A- (90.0… | A- (90.0… | A (93.00) | A- (90.0… | A- (90.0… | A- (90.0… | C (73.00) | A- (90.0… | B+ (87.0… | A- (90.0… | B+ (87.0… | A- (90.0… | A- (90.0… | A- (90.0… | A (93.00) | N/A (0.0… | B+ (87.0… | N/A (0.0… | A- (90.0… | A (93.00) | B+ (87.0… | A- (90.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… |   A-    |  90   | 3.63 |
o1-mini                                          | A (93.00) | A- (90.0… | A- (90.0… | B+ (87.0… | A- (90.0… | A- (90.0… | A- (90.0… | A- (90.0… | B+ (87.0… | A- (90.0… | A- (90.0… | B+ (87.0… | A- (90.0… | A (93.00) | A- (90.0… | A- (90.0… | B (83.00) | A (93.00) | N/A (0.0… | A- (90.0… | N/A (0.0… | B+ (87.0… | A- (90.0… | B+ (87.0… | A- (90.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… |   A-    |  90   | 3.64 |
GPT-4o-mini                                      | A (93.00) | A (93.00) | A- (90.0… | A- (90.0… | A- (90.0… | A- (90.0… | A- (90.0… | A- (90.0… | B+ (87.0… | A (93.00) | A- (90.0… | B+ (87.0… | A- (90.0… | B+ (87.0… | A- (90.0… | A- (90.0… | B+ (87.0… | A (93.00) | N/A (0.0… | A- (90.0… | N/A (0.0… | B+ (87.0… | B+ (87.0… | C (73.00) | B+ (87.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… |   A-    |  90   | 3.57 |
Claude-3.7-Sonnet                                | A (93.00) | A (93.00) | B+ (87.0… | A- (90.0… | A- (90.0… | A- (90.0… | B+ (87.0… | B+ (87.0… | B+ (87.0… | A- (90.0… | A- (90.0… | B+ (87.0… | B+ (87.0… | A- (90.0… | A- (90.0… | A- (90.0… | B (83.00) | A (93.00) | N/A (0.0… | A (93.00) | N/A (0.0… | B+ (87.0… | A- (90.0… | B+ (87.0… | A (93.00) | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… | N/A (0.0… |   A-    |  90   | 3.60 |
